id,title,authors,categories,abstract,update_date,versions
0704.0011,"Computing genus 2 Hilbert-Siegel modular forms over $\Q(\sqrt{5})$ via
  the Jacquet-Langlands correspondence",Clifton Cunningham and Lassina Dembele,math.NT math.AG,"  In this paper we present an algorithm for computing Hecke eigensystems of
Hilbert-Siegel cusp forms over real quadratic fields of narrow class number
one. We give some illustrative examples using th...",2008-08-20,3
0704.0012,"Distribution of integral Fourier Coefficients of a Modular Form of Half
  Integral Weight Modulo Primes",Dohoon Choi,math.NT,"  Recently, Bruinier and Ono classified cusp forms $f(z) := \sum_{n=0}^{\infty}
a_f(n)q ^n \in S_{\lambda+1/2}(\Gamma_0(N),\chi)\cap \mathbb{Z}[[q]]$ that does
not satisfy a certain distribution prope...",2007-05-23,1
0704.0013,"$p$-adic Limit of Weakly Holomorphic Modular Forms of Half Integral
  Weight",Dohoon Choi and YoungJu Choie,math.NT,"  Serre obtained the p-adic limit of the integral Fourier coefficient of
modular forms on $SL_2(\mathbb{Z})$ for $p=2,3,5,7$. In this paper, we extend
the result of Serre to weakly holomorphic modular...",2008-05-26,2
0704.0014,Iterated integral and the loop product,Koichi Fujii,math.CA math.AT,"  In this article we discuss a relation between the string topology and
differential forms based on the theory of Chen's iterated integrals and the
cyclic bar complex.
...",2009-09-29,1
0704.0015,Fermionic superstring loop amplitudes in the pure spinor formalism,Christian Stahn,hep-th,"  The pure spinor formulation of the ten-dimensional superstring leads to
manifestly supersymmetric loop amplitudes, expressed as integrals in pure
spinor superspace. This paper explores different met...",2009-11-13,2
0704.0016,Lifetime of doubly charmed baryons,"Chao-Hsi Chang, Tong Li, Xue-Qian Li and Yu-Ming Wang",hep-ph,"  In this work, we evaluate the lifetimes of the doubly charmed baryons
$\Xi_{cc}^{+}$, $\Xi_{cc}^{++}$ and $\Omega_{cc}^{+}$. We carefully calculate
the non-spectator contributions at the quark level...",2008-12-18,1
0704.0017,"Spectroscopic Observations of the Intermediate Polar EX Hydrae in
  Quiescence","Nceba Mhlahlo, David H. Buckley, Vikram S. Dhillon, Steven B. Potter,
  Brian Warner and Patric A. Woudt",astro-ph,"  Results from spectroscopic observations of the Intermediate Polar (IP) EX Hya
in quiescence during 1991 and 2001 are presented. Spin-modulated radial
velocities consistent with an outer disc origin ...",2009-06-23,1
0704.0018,In quest of a generalized Callias index theorem,Andreas Gustavsson,hep-th,"  We give a prescription for how to compute the Callias index, using as
regulator an exponential function. We find agreement with old results in all
odd dimensions. We show that the problem of computi...",2007-05-23,2
0704.0019,"Approximation for extinction probability of the contact process based on
  the Gr\""obner basis",Norio Konno,math.PR math.AG,"  In this note we give a new method for getting a series of approximations for
the extinction probability of the one-dimensional contact process by using the
Gr\""obner basis.
...",2007-06-23,2
0704.0020,Measurement of the Hadronic Form Factor in D0 --> K- e+ nue Decays,"The BABAR Collaboration, B. Aubert, et al",hep-ex,"  The shape of the hadronic form factor f+(q2) in the decay D0 --> K- e+ nue
has been measured in a model independent analysis and compared with theoretical
calculations. We use 75 fb(-1) of data reco...",2015-06-30,1
0704.0021,"Molecular Synchronization Waves in Arrays of Allosterically Regulated
  Enzymes","Vanessa Casagrande, Yuichi Togashi, Alexander S. Mikhailov",nlin.PS physics.chem-ph q-bio.MN,"  Spatiotemporal pattern formation in a product-activated enzymic reaction at
high enzyme concentrations is investigated. Stochastic simulations show that
catalytic turnover cycles of individual enzym...",2007-07-24,2
0704.0022,Stochastic Lie group integrators,Simon J.A. Malham and Anke Wiese,math.NA,"  We present Lie group integrators for nonlinear stochastic differential
equations with non-commutative vector fields whose solution evolves on a smooth
finite dimensional manifold. Given a Lie group ...",2007-10-16,2
0704.0023,ALMA as the ideal probe of the solar chromosphere,"M. A. Loukitcheva, S. K. Solanki and S. White",astro-ph,"  The very nature of the solar chromosphere, its structuring and dynamics,
remains far from being properly understood, in spite of intensive research.
Here we point out the potential of chromospheric ...",2009-06-23,1
0704.0024,"Formation of quasi-solitons in transverse confined ferromagnetic film
  media","A.A. Serga, M. Kostylev, and B. Hillebrands",nlin.PS,"  The formation of quasi-2D spin-wave waveforms in longitudinally magnetized
stripes of ferrimagnetic film was observed by using time- and space-resolved
Brillouin light scattering technique. In the l...",2007-05-30,1
0704.0025,"Spectroscopic Properties of Polarons in Strongly Correlated Systems by
  Exact Diagrammatic Monte Carlo Method","A. S. Mishchenko (1 and 2) and N. Nagaosa (1 and 3) ((1) CREST, Japan
  Science and Technology Agency, (2) Russian Research Centre ``Kurchatov
  Institute'', (3) The University of Tokyo)",cond-mat.str-el cond-mat.stat-mech,"  We present recent advances in understanding of the ground and excited states
of the electron-phonon coupled systems obtained by novel methods of
Diagrammatic Monte Carlo and Stochastic Optimization,...",2015-05-13,1
0704.0026,"Placeholder Substructures II: Meta-Fractals, Made of Box-Kites, Fill
  Infinite-Dimensional Skies",Robert P. C. de Marrais,math.RA,"  Zero-divisors (ZDs) derived by Cayley-Dickson Process (CDP) from
N-dimensional hypercomplex numbers (N a power of 2, at least 4) can represent
singularities and, as N approaches infinite, fractals -...",2007-11-22,3
0704.0027,Filling-Factor-Dependent Magnetophonon Resonance in Graphene,"M. O. Goerbig, J.-N. Fuchs, K. Kechedzhi, Vladimir I. Fal'ko",cond-mat.mes-hall,"  We describe a peculiar fine structure acquired by the in-plane optical phonon
at the Gamma-point in graphene when it is brought into resonance with one of
the inter-Landau-level transitions in this ...",2009-09-24,4
0704.0028,"Pfaffians, hafnians and products of real linear functionals",P\'eter E. Frenkel,math.CA math.PR,"  We prove pfaffian and hafnian versions of Lieb's inequalities on determinants
and permanents of positive semi-definite matrices. We use the hafnian
inequality to improve the lower bound of R\'ev\'es...",2014-07-31,2
0704.0029,"Understanding the Flavor Symmetry Breaking and Nucleon Flavor-Spin
  Structure within Chiral Quark Model","Zhan Shu, Xiao-Lin Chen and Wei-Zhen Deng",hep-ph,"  In $\XQM$, a quark can emit Goldstone bosons. The flavor symmetry breaking in
the Goldstone boson emission process is used to intepret the nucleon
flavor-spin structure. In this paper, we study the ...",2010-04-23,2
0704.0030,Tuning correlation effects with electron-phonon interactions,J.P.Hague and N.d'Ambrumenil,cond-mat.str-el,"  We investigate the effect of tuning the phonon energy on the correlation
effects in models of electron-phonon interactions using DMFT. In the regime
where itinerant electrons, instantaneous electron...",2015-05-13,1
0704.0031,"Crystal channeling of LHC forward protons with preserved distribution in
  phase space","V. M. Biryukov (Serpukhov, IHEP)",hep-ph,"  We show that crystal can trap a broad (x, x', y, y', E) distribution of
particles and channel it preserved with a high precision. This sampled-and-hold
distribution can be steered by a bent crystal ...",2008-11-26,1
0704.0032,Probing non-standard neutrino interactions with supernova neutrinos,"A. Esteban-Pretel, R. Tom\`as and J. W. F. Valle",hep-ph,"  We analyze the possibility of probing non-standard neutrino interactions
(NSI, for short) through the detection of neutrinos produced in a future
galactic supernova (SN).We consider the effect of NS...",2008-11-26,1
0704.0033,"Convergence of the discrete dipole approximation. I. Theoretical
  analysis","Maxim A. Yurkin, Valeri P. Maltsev, Alfons G. Hoekstra",physics.optics physics.comp-ph,"  We performed a rigorous theoretical convergence analysis of the discrete
dipole approximation (DDA). We prove that errors in any measured quantity are
bounded by a sum of a linear and quadratic term...",2022-03-31,2
0704.0034,Origin of adaptive mutants: a quantum measurement?,Vasily Ogryzko,q-bio.PE q-bio.CB quant-ph,"  This is a supplement to the paper arXiv:q-bio/0701050, containing the text of
correspondence sent to Nature in 1990.
...",2007-05-23,1
0704.0035,"Convergence of the discrete dipole approximation. II. An extrapolation
  technique to increase the accuracy","Maxim A. Yurkin, Valeri P. Maltsev, Alfons G. Hoekstra",physics.optics physics.comp-ph,"  We propose an extrapolation technique that allows accuracy improvement of the
discrete dipole approximation computations. The performance of this technique
was studied empirically based on extensive...",2008-07-29,1
0704.0036,A remark on the number of steady states in a multiple futile cycle,Liming Wang and Eduardo D. Sontag,q-bio.QM q-bio.MN,"  The multisite phosphorylation-dephosphorylation cycle is a motif repeatedly
used in cell signaling. This motif itself can generate a variety of dynamic
behaviors like bistability and ultrasensitivit...",2011-11-09,2
0704.0037,"The discrete dipole approximation for simulation of light scattering by
  particles much larger than the wavelength","Maxim A. Yurkin, Valeri P. Maltsev, Alfons G. Hoekstra",physics.optics physics.comp-ph,"  In this manuscript we investigate the capabilities of the Discrete Dipole
Approximation (DDA) to simulate scattering from particles that are much larger
than the wavelength of the incident light, an...",2007-05-23,1
0704.0038,The discrete dipole approximation: an overview and recent developments,"Maxim A. Yurkin, Alfons G. Hoekstra",physics.optics physics.comp-ph,"  We present a review of the discrete dipole approximation (DDA), which is a
general method to simulate light scattering by arbitrarily shaped particles. We
put the method in historical context and di...",2022-03-30,2
0704.0039,Scalar radius of the pion and zeros in the form factor,Jose A. Oller and Luis Roca,hep-ph hep-lat nucl-th,"  The quadratic pion scalar radius, \la r^2\ra^\pi_s, plays an important role
for present precise determinations of \pi\pi scattering. Recently, Yndur\'ain,
using an Omn\`es representation of the null...",2008-11-26,2
0704.0040,"Multilinear function series in conditionally free probability with
  amalgamation",Mihai Popa,math.OA math.FA,"  As in the cases of freeness and monotonic independence, the notion of
conditional freeness is meaningful when complex-valued states are replaced by
positive conditional expectations. In this framewo...",2008-09-05,3
0704.0041,Quantum Group of Isometries in Classical and Noncommutative Geometry,Debashish Goswami,math.QA math-ph math.MP,"  We formulate a quantum generalization of the notion of the group of
Riemannian isometries for a compact Riemannian manifold, by introducing a
natural notion of smooth and isometric action by a compa...",2009-11-13,4
0704.0042,"General System theory, Like-Quantum Semantics and Fuzzy Sets",Ignazio Licata,physics.gen-ph quant-ph,"  It is outlined the possibility to extend the quantum formalism in relation to
the requirements of the general systems theory. It can be done by using a
quantum semantics arising from the deep logica...",2010-04-26,1
0704.0043,Nonequilibrium entropy limiters in lattice Boltzmann methods,"R.A. Brownlee, A.N. Gorban, J. Levesley",cond-mat.stat-mech cond-mat.mtrl-sci,"  We construct a system of nonequilibrium entropy limiters for the lattice
Boltzmann methods (LBM). These limiters erase spurious oscillations without
blurring of shocks, and do not affect smooth solu...",2007-11-19,1
0704.0044,"Astrophysical gyrokinetics: kinetic and fluid turbulent cascades in
  magnetized weakly collisional plasmas","A. A. Schekochihin (Oxford), S. C. Cowley (Culham), W. Dorland
  (Maryland), G. W. Hammett (Princeton), G. G. Howes (Iowa), E. Quataert
  (Berkeley), T. Tatsuno (Maryland)",astro-ph nlin.CD physics.plasm-ph physics.space-ph,"  We present a theoretical framework for plasma turbulence in astrophysical
plasmas (solar wind, interstellar medium, galaxy clusters, accretion disks).
The key assumptions are that the turbulence is ...",2015-05-13,4
0704.0045,"Evolution of solitary waves and undular bores in shallow-water flows
  over a gradual slope with bottom friction","G.A. El, R.H.J. Grimshaw, A.M. Kamchatnov",nlin.PS nlin.SI,"  This paper considers the propagation of shallow-water solitary and nonlinear
periodic waves over a gradual slope with bottom friction in the framework of a
variable-coefficient Korteweg-de Vries equ...",2007-09-23,1
0704.0046,A limit relation for entropy and channel capacity per unit cost,"I. Csiszar, F. Hiai and D. Petz",quant-ph cs.IT math.IT,"  In a quantum mechanical model, Diosi, Feldmann and Kosloff arrived at a
conjecture stating that the limit of the entropy of certain mixtures is the
relative entropy as system size goes to infinity. ...",2009-11-13,1
0704.0047,"Intelligent location of simultaneously active acoustic emission sources:
  Part I",T. Kosel and I. Grabec,cs.NE cs.AI,"  The intelligent acoustic emission locator is described in Part I, while Part
II discusses blind source separation, time delay estimation and location of two
simultaneously active continuous acoustic...",2009-09-29,1
0704.0048,"Inference on white dwarf binary systems using the first round Mock LISA
  Data Challenges data sets","Alexander Stroeer, John Veitch, Christian Roever, Ed Bloomer, James
  Clark, Nelson Christensen, Martin Hendry, Chris Messenger, Renate Meyer,
  Matthew Pitkin, Jennifer Toher, Richard Umstaetter, Alberto Vecchio and
  Graham Woan",gr-qc astro-ph,"  We report on the analysis of selected single source data sets from the first
round of the Mock LISA Data Challenges (MLDC) for white dwarf binaries. We
implemented an end-to-end pipeline consisting ...",2008-11-26,2
0704.0049,An algorithm for the classification of smooth Fano polytopes,Mikkel {\O}bro,math.CO,"  We present an algorithm that produces the classification list of smooth Fano
d-polytopes for any given d. The input of the algorithm is a single number,
namely the positive integer d. The algorithm ...",2007-05-23,1
0704.0050,"Intelligent location of simultaneously active acoustic emission sources:
  Part II",T. Kosel and I. Grabec,cs.NE cs.AI,"  Part I describes an intelligent acoustic emission locator, while Part II
discusses blind source separation, time delay estimation and location of two
continuous acoustic emission sources.
  Acoustic...",2007-05-23,1
0704.0051,Visualizing Teleportation,Scott M. Cohen,physics.ed-ph quant-ph,"  A novel way of picturing the processing of quantum information is described,
allowing a direct visualization of teleportation of quantum states and
providing a simple and intuitive understanding of ...",2008-05-14,2
0704.0052,Quantum Field Theory on Curved Backgrounds. II. Spacetime Symmetries,Arthur Jaffe (1) and Gordon Ritter (1) ((1) Harvard University),hep-th,"  We study space-time symmetries in scalar quantum field theory (including
interacting theories) on static space-times. We first consider Euclidean
quantum field theory on a static Riemannian manifold...",2007-05-23,1
0704.0053,A Global Approach to the Theory of Special Finsler Manifolds,"Nabil L. Youssef, S. H. Abed and A. Soleiman",math.DG gr-qc,"  The aim of the present paper is to provide a global presentation of the
theory of special Finsler manifolds. We introduce and investigate globally (or
intrinsically, free from local coordinates) man...",2009-04-20,3
0704.0054,"The Hardy-Lorentz Spaces $H^{p,q}(R^n)$",Wael Abu-Shammala and Alberto Torchinsky,math.CA math.FA,"  In this paper we consider the Hardy-Lorentz spaces $H^{p,q}(R^n)$, with
$0<p\le 1$, $0<q\le \infty$. We discuss the atomic decomposition of the
elements in these spaces, their interpolation properti...",2013-10-15,1
0704.0055,"Potassium intercalation in graphite: A van der Waals density-functional
  study","Eleni Ziambaras, Jesper Kleis, Elsebeth Schroder, and Per Hyldgaard",cond-mat.soft cond-mat.mtrl-sci,"  Potassium intercalation in graphite is investigated by first-principles
theory. The bonding in the potassium-graphite compound is reasonably well
accounted for by traditional semilocal density funct...",2009-11-13,1
0704.0056,Phase diagram of Gaussian-core nematics,Santi Prestipino and Franz Saija,cond-mat.soft cond-mat.mtrl-sci,"  We study a simple model of a nematic liquid crystal made of parallel
ellipsoidal particles interacting via a repulsive Gaussian law. After
identifying the relevant solid phases of the system through...",2009-11-13,1
0704.0057,"High-spin to low-spin and orbital polarization transitions in
  multiorbital Mott systems",Philipp Werner and Andrew J. Millis,cond-mat.str-el,"  We study the interplay of crystal field splitting and Hund coupling in a
two-orbital model which captures the essential physics of systems with two
electrons or holes in the e_g shell. We use single...",2009-11-13,2
0704.0058,Intelligent Life in Cosmology,Frank J. Tipler,physics.pop-ph,"  I shall present three arguments for the proposition that intelligent life is
very rare in the universe. First, I shall summarize the consensus opinion of
the founders of the Modern Synthesis (Simpso...",2015-05-13,1
0704.0059,"The Mass and Radius of the Unseen M-Dwarf Companion in the Single-Lined
  Eclipsing Binary HAT-TR-205-013","T. G. Beatty, J. M. Fernandez, D. W. Latham, G. A. Bakos, G. Kovacs,
  R. W. Noyes, R. P. Stefanik, G. Torres, M. E. Everett, C. W. Hergenrother",astro-ph,"  We derive masses and radii for both components in the single-lined eclipsing
binary HAT-TR-205-013, which consists of a F7V primary and a late M-dwarf
secondary. The system's period is short, $P=2.2...",2009-06-23,2
0704.0060,Coulomb excitation of unstable nuclei at intermediate energies,"C.A. Bertulani, G. Cardella, M. De Napoli, G. Raciti, and E. Rapisarda",nucl-th,"  We investigate the Coulomb excitation of low-lying states of unstable nuclei
in intermediate energy collisions ($E_{lab}\sim10-500$ MeV/nucleon). It is
shown that the cross sections for the $E1$ and...",2008-11-26,2
0704.0061,Intersection Bodies and Generalized Cosine Transforms,Boris Rubin,math.FA,"  Intersection bodies represent a remarkable class of geometric objects
associated with sections of star bodies and invoking
  Radon transforms, generalized cosine transforms, and the relevant Fourier...",2007-05-23,2
0704.0062,On-line Viterbi Algorithm and Its Relationship to Random Walks,"Rastislav \v{S}r\'amek, Bro\v{n}a Brejov\'a, Tom\'a\v{s} Vina\v{r}",cs.DS,"  In this paper, we introduce the on-line Viterbi algorithm for decoding hidden
Markov models (HMMs) in much smaller than linear space. Our analysis on
two-state HMMs suggests that the expected maximu...",2010-01-25,1
0704.0063,Experimental efforts in search of 76Ge Neutrinoless Double Beta Decay,Somnath Choudhury,hep-ph,"  Neutrinoless double beta decay is one of the most sensitive approaches in
non-accelerator particle physics to take us into a regime of physics beyond the
standard model. This article is a brief revi...",2008-03-12,4
0704.0064,"Nilpotent symmetry invariance in the superfield formulation: the
  (non-)Abelian 1-form gauge theories",R. P. Malik (Bhu),hep-th,"  We capture the off-shell as well as the on-shell nilpotent
Becchi-Rouet-Stora-Tyutin (BRST) and anti-BRST symmetry invariance of the
Lagrangian densities of the four (3 + 1)-dimensional (4D) (non-)A...",2008-11-26,5
0704.0065,Littlewood-Richardson polynomials,A. I. Molev,math.AG math.CO,"  We introduce a family of rings of symmetric functions depending on an
infinite sequence of parameters. A distinguished basis of such a ring is
comprised by analogues of the Schur functions. The corr...",2009-06-03,3
0704.0066,"Lagrangian quantum field theory in momentum picture. IV. Commutation
  relations for free fields","Bozhidar Z. Iliev (Institute for Nuclear Research and Nuclear Energy,
  Bulgarian Academy of Sciences, Sofia, Bulgaria)",hep-th,"  Possible (algebraic) commutation relations in the Lagrangian quantum theory
of free (scalar, spinor and vector) fields are considered from mathematical
view-point. As sources of these relations are ...",2007-05-23,1
0704.0067,Order of Epitaxial Self-Assembled Quantum Dots: Linear Analysis,Lawrence H. Friedman,cond-mat.mtrl-sci,"  Epitaxial self-assembled quantum dots (SAQDs) are of interest for
nanostructured optoelectronic and electronic devices such as lasers,
photodetectors and nanoscale logic. Spatial order and size orde...",2007-06-09,1
0704.0068,A Note About the {Ki(z)} Functions,Branko J. Malesevic,math.NT math.CV,"  In the article [Petojevic 2006], A. Petojevi\' c verified useful properties
of the $K_{i}(z)$ functions which generalize Kurepa's [Kurepa 1971] left
factorial function. In this note, we present simp...",2007-06-13,2
0704.0069,Dynamical Objects for Cohomologically Expanding Maps,John W. Robertson,math.DS,"  The goal of this paper is to construct invariant dynamical objects for a (not
necessarily invertible) smooth self map of a compact manifold. We prove a
result that takes advantage of differences in ...",2010-01-08,1
0704.0070,"Coincidence of the oscillations in the dipole transition and in the
  persistent current of narrow quantum rings with two electrons",He Yanzhang and Bao Chengguang,cond-mat.mes-hall,"  The fractional Aharonov-Bohm oscillation (FABO) of narrow quantum rings with
two electrons has been studied and has been explained in an analytical way, the
evolution of the period and amplitudes ag...",2008-01-19,1
0704.0071,Pairwise comparisons of typological profiles (of languages),S. Wichmann and E.W. Holman,physics.soc-ph,"  No abstract given; compares pairs of languages from World Atlas of Language
Structures.
...",2007-05-23,1
0704.0072,"The decomposition method and Maple procedure for finding first integrals
  of nonlinear PDEs of any order with any number of independent variables",Yu.N. Kosovtsov,math-ph math.MP,"  In present paper we propose seemingly new method for finding solutions of
some types of nonlinear PDEs in closed form. The method is based on
decomposition of nonlinear operators on sequence of oper...",2007-05-23,1
0704.0073,A transcendental approach to Koll\'ar's injectivity theorem,Osamu Fujino,math.AG,"  We treat Koll\'ar's injectivity theorem from the analytic (or differential
geometric) viewpoint. More precisely, we give a curvature condition which
implies Koll\'ar type cohomology injectivity theo...",2012-03-06,3
0704.0074,Injective Morita contexts (revisited),"J. Y. Abuhlail, S. K. Nauman",math.RA,"  This paper is an exposition of the so-called injective Morita contexts (in
which the connecting bimodule morphisms are injective) and Morita
$\alpha$contexts (in which the connecting bimodules enjoy...",2007-08-22,2
0704.0075,Strong decays of charmed baryons,"Chong Chen, Xiao-Lin Chen, Xiang Liu, Wei-Zhen Deng and Shi-Lin Zhu",hep-ph hep-ex nucl-ex,"  There has been important experimental progress in the sector of heavy baryons
in the past several years. We study the strong decays of the S-wave, P-wave,
D-wave and radially excited charmed baryons...",2008-11-26,3
0704.0076,CP violation in beauty decays,Michael Gronau,hep-ph hep-ex,"  Precision tests of the Kobayashi-Maskawa model of CP violation are discussed,
pointing out possible signatures for other sources of CP violation and for new
flavor-changing operators. The current st...",2008-11-26,2
0704.0077,Universal Forces and the Dark Energy Problem,Afsar Abbas,physics.gen-ph,"  The Dark Energy problem is forcing us to re-examine our models and our
understanding of relativity and space-time. Here a novel idea of Fundamental
Forces is introduced. This allows us to perceive t...",2007-05-23,1
0704.0078,"Linear perturbations of matched spacetimes: the gauge problem and
  background symmetries","Marc Mars, Filipe C. Mena, Raul Vera",gr-qc,"  We present a critical review about the study of linear perturbations of
matched spacetimes including gauge problems. We analyse the freedom introduced
in the perturbed matching by the presence of ba...",2008-11-26,1
0704.0079,Operator algebras associated with unitary commutation relations,"Stephen C. Power (Lancaster University), Baruch Solel (Technion)",math.OA,"  We define nonselfadjoint operator algebras with generators $L_{e_1},...,
L_{e_n}, L_{f_1},...,L_{f_m}$ subject to the unitary commutation relations of
the form \[ L_{e_i}L_{f_j} = \sum_{k,l} u_{i,j,...",2007-05-23,1
0704.0080,"Shaping the Globular Cluster Mass Function by Stellar-Dynamical
  Evaporation",Dean E. McLaughlin and S. Michael Fall,astro-ph,"  We show that the globular cluster mass function (GCMF) in the Milky Way
depends on cluster half-mass density (rho_h) in the sense that the turnover
mass M_TO increases with rho_h while the width of ...",2010-11-11,4
0704.0081,Quantum Deformations of Relativistic Symmetries,"V.N. Tolstoy (INP, Moscow State University)",math.QA hep-th math-ph math.MP math.RT,"  We discussed quantum deformations of D=4 Lorentz and Poincare algebras. In
the case of Poincare algebra it is shown that almost all classical r-matrices
of S. Zakrzewski classification correspond to...",2007-05-23,1
0704.0082,"Matter-Wave Bright Solitons with a Finite Background in Spinor
  Bose-Einstein Condensates","Tetsuo Kurosaki, Miki Wadati",cond-mat.other cond-mat.stat-mech,"  We investigate dynamical properties of bright solitons with a finite
background in the F=1 spinor Bose-Einstein condensate (BEC), based on an
integrable spinor model which is equivalent to the matri...",2009-11-13,1
0704.0083,Why there is something rather than nothing (out of everything)?,A.O.Barvinsky,hep-th,"  The path integral over Euclidean geometries for the recently suggested
density matrix of the Universe is shown to describe a microcanonical ensemble
in quantum cosmology. This ensemble corresponds t...",2008-11-26,2
0704.0084,"Formation of density singularities in ideal hydrodynamics of freely
  cooling inelastic gases: a family of exact solutions","Itzhak Fouxon, Baruch Meerson, Michael Assaf, Eli Livne",cond-mat.soft nlin.PS physics.flu-dyn,"  We employ granular hydrodynamics to investigate a paradigmatic problem of
clustering of particles in a freely cooling dilute granular gas. We consider
large-scale hydrodynamic motions where the visc...",2009-11-13,2
0704.0085,A Universality in PP-Waves,Partha Mukhopadhyay,hep-th,"  We discuss a universality property of any covariant field theory in
space-time expanded around pp-wave backgrounds. According to this property the
space-time lagrangian density evaluated on a restri...",2009-11-13,2
0704.0086,Clustering in a stochastic model of one-dimensional gas,Vladislav V. Vysotsky,math.PR,"  We give a quantitative analysis of clustering in a stochastic model of
one-dimensional gas. At time zero, the gas consists of $n$ identical particles
that are randomly distributed on the real line a...",2008-06-17,2
0704.0087,"Approximate solutions to the Dirichlet problem for harmonic maps between
  hyperbolic spaces",Duong Minh Duc and Truong Trung Tuyen,math.DG,"  Our main result in this paper is the following: Given $H^m, H^n$ hyperbolic
spaces of dimensional $m$ and $n$ corresponding, and given a Holder function
$f=(s^1,...,f^{n-1}):\partial H^m\to \partial...",2007-06-13,2
0704.0088,Some new experimental photonic flame effect features,N.V.Tcherniega,physics.optics,"  The results of the spectral, energetical and temporal characteristics of
radiation in the presence of the photonic flame effect are presented.
Artificial opal posed on Cu plate at the temperature of...",2007-05-23,1
0704.0089,"A general approach to statistical modeling of physical laws:
  nonparametric regression",I. Grabec,physics.data-an physics.gen-ph,"  Statistical modeling of experimental physical laws is based on the
probability density function of measured variables. It is expressed by
experimental data via a kernel estimator. The kernel is dete...",2007-05-23,1
0704.0090,Real Options for Project Schedules (ROPS),Lester Ingber,cs.CE cond-mat.stat-mech cs.MS cs.NA physics.data-an,"  Real Options for Project Schedules (ROPS) has three recursive
sampling/optimization shells. An outer Adaptive Simulated Annealing (ASA)
optimization shell optimizes parameters of strategic Plans con...",2007-05-23,1
0704.0091,Groups with finitely many conjugacy classes and their automorphisms,Ashot Minasyan,math.GR,"  We combine classical methods of combinatorial group theory with the theory of
small cancellations over relatively hyperbolic groups to construct finitely
generated torsion-free groups that have only...",2009-07-07,2
0704.0092,Energy density for chiral lattice fermions with chemical potential,Christof Gattringer and Ludovit Liptak,hep-lat hep-ph,"  We study a recently proposed formulation of overlap fermions at finite
density. In particular we compute the energy density as a function of the
chemical potential and the temperature. It is shown t...",2008-11-26,2
